row,col
465,1219
1434,1556
2118,953
1306,1815
2108,2193
1862,1867
1988,1096
749,2132
629,893
2080,190
192,265
1709,2124
2374,1211
2209,1318
1959,1566
2116,302
2203,583
2071,1753
700,2161
1882,271
1323,179
2239,59
2154,1459
2147,365
1481,611
1678,457
1860,157
36,66
1993,1281
2165,1047
2381,348
1752,1414
1340,269
232,1328
2063,1099
2113,755
1194,1818
1741,203
1455,1266
2064,2062
2154,1588
1435,1054
2097,2120
158,326
1985,1489
1859,1563
566,1229
1664,1480
1391,1844
1852,1974
100,159
2031,878
1963,537
1866,222
2250,555
1976,1853
1828,534
1899,682
2349,370
2041,1782
2365,744
2281,842
356,937
1073,961
1749,1398
676,1501
1428,1656
2041,1252
624,705
1652,610
1462,422
2371,2210
2152,1953
1613,1120
2099,2013
1770,1865
1669,2191
2272,1629
1753,1487
2091,166
101,265
2262,297
1736,1931
2387,1567
434,1193
2253,1502
1618,1692
1777,2100
2027,906
1657,1492
1858,375
2086,1615
1891,304
2178,1688
2143,823
1907,413
2239,1279
1946,1418
2298,858
1973,1473
1764,308
627,591
416,1228
1884,1684
1959,1371
462,943
2209,954
1521,676
2295,1508
2252,1287
2229,1493
2160,1981
1532,223
1336,1691
1069,930
2039,238
686,807
1453,1222
2274,2346
2237,1856
421,1382
2108,1746
1362,1235
532,2121
1487,290
327,754
2435,1490
1587,1693
2209,695
745,603
1996,171
418,2170
1718,203
1437,158
2442,658
2001,1086
2203,1330
2076,2272
807,2189
2424,738
1517,1327
2092,643
1694,1734
1364,863
2287,118
300,1342
602,1297
2294,1257
2409,159
765,1635
1046,922
1349,614
278,1361
532,611
573,1432
1314,891
1486,144
1887,1154
2072,1023
1898,1751
2053,1114
2131,1023
1028,1016
1407,864
2077,2105
1423,497
551,2173
1647,1076
1757,2270
1840,658
2211,892
1537,130
2071,223
1762,2014
576,1425
2200,1401
2177,2234
331,735
802,800
2147,1833
1770,447
932,894
1556,302
2325,473
1428,1685
1414,521
1969,1610
1688,2015
2319,516
122,86
708,1531
1761,128
2279,1006
1730,2271
1439,1277
2125,289
1770,2079
1412,1331
2007,64
2016,973
800,650
670,1381
2013,659
2126,2139
2339,786
900,2200
695,1554
2132,1654
2097,2032
2412,1455
1257,1746
2276,1936
2059,1809
1207,824
2087,663
2020,2087
2232,786
2023,779
1646,1676
1890,462
1711,1787
957,843
116,226
2396,1000
2285,2318
1868,793
1613,1629
2429,1461
1184,718
746,789
422,1310
2245,1696
1428,641
706,588
150,207
192,1
2359,776
331,113
887,856
1659,1897
2201,1324
1493,623
2113,668
113,14
1666,2218
2190,2069
2005,1666
1010,899
2067,549
1362,1136
596,2132
2307,1043
790,640
2288,1356
539,2127
503,808
2257,482
1613,2142
2109,1367
1574,1889
1811,1513
1944,1604
784,2206
545,738
1471,515
1556,1664
1339,231
1795,2139
470,1171
2062,1573
159,82
1058,825
844,1807
1855,1365
1663,1972
1680,1158
341,869
1923,1259
1625,607
1308,625
2328,1377
1803,1293
1727,2444
2353,910
364,974
2281,248
323,135
1254,973
525,662
1398,406
2193,1714
1407,1042
1809,2059
1278,1077
2344,2332
1523,1643
2048,716
544,598
1400,515
2044,203
451,921
1438,1280
2416,1032
2214,33
1638,436
1693,400
574,1290
1199,847
1466,1106
2328,1212
2303,1368
2030,572
1741,1944
671,1031
1951,442
1955,677
1864,477
1893,326
1326,153
322,706
2013,1154
864,884
2168,1506
2268,565
2084,1983
438,680
1567,2439
538,1361
1790,1989
2246,905
516,816
1747,1979
1443,1784
1454,1268
347,118
1465,1606
1945,322
468,990
2276,1548
624,863
2254,201
690,607
584,1581
1862,397
1678,226
2209,120
757,685
2329,1914
1500,1315
395,2240
1733,2207
1565,1270
2312,711
2394,1724
2158,952
1992,1905
2442,674
539,1086
1655,1988
2281,1633
2029,1686
1676,1622
1922,1472
1305,666
1662,147
636,1261
2164,2365
617,616
2252,2447
519,1418
2112,61
2214,2020
1384,1261
1839,2097
842,830
2192,298
2334,166
275,67
2289,1733
2328,879
165,252
1491,1466
2150,412
2321,1198
1984,1604
1391,851
2387,600
2321,2039
1073,884
2098,2161
1723,2316
2353,2394
1774,1159
2361,1188
2415,1703
2388,967
549,1091
1919,1271
2350,148
2424,971
2014,308
2116,2139
679,2117
2040,595
2116,163
2026,760
1548,1635
326,1295
1114,1034
1637,1580
2416,1121
1993,501
1901,1201
2230,537
2104,1042
626,1004
1929,1319
1873,1731
1866,1601
2311,2133
1887,1967
1222,1109
1618,2125
1886,1425
2160,575
285,1321
1195,652
1300,887
2191,2216
711,574
1914,1051
650,1415
1919,1906
1627,1534
366,1422
429,1267
605,764
1968,1631
642,1459
322,1399
2100,892
584,888
2359,2245
1159,796
1673,337
326,769
268,1329
2179,353
1433,1408
2188,1641
1496,1420
1991,697
1969,114
1249,785
2032,1974
399,1279
1317,1865
1640,2212
2122,2290
2424,121
1225,1032
1714,441
1390,1071
2030,530
1177,831
1671,2079
2044,2318
1843,1644
558,1433
23,45
2242,2024
534,1539
2353,1686
2219,1527
1303,973
694,1690
193,18
1467,133
1774,1742
2260,460
2356,1005
1802,2224
2223,2102
1997,1465
2356,878
1685,601
2196,1057
1675,1332
1675,647
907,1842
1808,319
2185,1606
1627,1282
580,1489
2384,1737
2283,865
602,941
1926,412
1509,685
741,1740
2216,2435
2207,991
39,125
1700,1779
391,1294
1300,149
1527,458
2247,2236
1505,436
1998,729
480,856
2100,2226
2179,1719
840,904
734,654
2424,562
622,982
1595,353
1574,1264
1652,1392
2233,1328
2241,243
2223,59
1702,202
1545,1725
1740,2132
2245,406
1226,1727
332,700
1825,1243
1448,273
1687,603
1750,1522
475,1447
1939,77
1456,1423
1507,1319
2029,1869
