row,col
751,547
811,1152
1202,1922
1204,481
961,1092
1165,1727
1181,2033
1155,110
1245,188
737,1202
248,570
1107,1347
955,126
918,367
1001,643
1225,1667
352,401
1295,2355
166,710
1098,2164
2025,2307
660,2401
1001,1787
1196,391
495,2265
995,1343
1089,190
629,216
1823,2402
777,1536
1021,2024
751,2286
1196,2388
311,2345
940,1813
1376,1513
1213,221
862,259
803,1529
959,1206
1158,279
325,491
215,533
46,811
159,956
1227,2181
1043,1569
673,1127
1137,2177
9,714
1854,28
446,18
782,2284
1021,2
876,1048
453,314
325,1074
903,474
937,1518
184,927
277,2287
700,1222
1157,2360
496,2331
2352,1957
1123,2133
721,1108
597,2401
2072,2
501,2297
999,1763
529,187
730,1086
799,1050
1186,2327
2374,1974
300,385
182,358
514,532
1272,78
267,2427
840,1228
1051,1955
416,0
1995,2171
1162,1328
1232,2246
2020,2271
1100,1609
262,1229
1380,1499
1924,71
1062,1507
339,454
1254,113
915,499
1014,1342
1321,1344
891,158
1116,221
1485,8
1177,2335
1353,1565
1320,1324
142,460
927,1749
155,608
595,23
2322,1994
252,372
233,1004
2082,41
231,2353
1267,1439
983,1880
1135,1674
1314,1307
25,2364
331,394
1048,1832
1143,1919
10,287
1052,1413
31,747
912,1242
612,2409
2106,26
238,703
962,1955
208,788
1998,2306
1073,68
1176,445
1035,1127
1017,2160
1068,1630
1224,1458
106,369
137,1199
204,357
872,1104
201,547
551,141
982,791
932,294
1317,1529
265,2375
382,411
2,968
1115,2209
2332,1978
1028,486
444,389
224,850
692,250
245,1244
1252,2154
107,721
1259,237
21,815
827,48
1396,53
532,404
144,707
1252,542
538,333
466,2337
729,1092
1173,2218
1222,69
1205,2091
1037,551
161,1005
768,1315
590,2216
1280,2205
1023,569
1327,1639
1286,493
1024,123
532,300
1087,722
1040,813
1164,1673
0,545
496,186
1952,2162
1134,1545
1259,2272
2018,2316
1092,2141
662,163
789,2430
591,371
950,1928
897,1387
1028,1690
1025,1980
927,739
14,2417
193,2379
1032,1316
305,702
1001,2085
1029,1222
1107,441
832,505
935,154
1071,1882
840,1011
785,564
587,276
777,551
18,863
891,1393
1235,2384
165,993
2002,16
1192,25
1173,1320
671,551
496,503
1929,2223
148,869
1981,2361
368,440
301,1038
1480,84
810,520
1775,30
281,384
845,1704
857,657
959,651
960,1139
667,501
871,347
400,31
695,0
1058,1497
649,245
69,968
211,477
1050,1320
2163,19
170,753
4,452
70,305
974,251
2390,1972
1038,1553
1284,1304
361,651
502,223
1385,1638
150,629
1989,16
1098,1630
719,1182
234,971
221,2262
132,846
182,2402
1113,157
1190,315
1860,2440
280,583
1193,2233
1291,1347
1305,317
219,394
615,463
242,1255
702,110
967,793
1141,1372
901,1345
1112,497
869,2
1005,1506
1942,2159
190,667
2001,2430
1313,1401
277,608
954,224
1245,2396
1031,2169
573,41
464,426
468,590
1034,2050
1100,1566
1339,1414
1275,2264
318,479
986,129
1115,2067
557,2342
226,781
172,1133
1861,2380
675,2270
1131,658
1293,132
816,643
1241,77
274,1009
280,877
833,2436
1266,1434
23,305
1035,481
999,1714
1047,2037
1377,68
976,217
1285,1390
929,261
1173,1378
223,431
1058,2175
405,2354
1284,59
1264,1638
997,823
819,1115
1059,1938
899,724
318,646
1145,1689
481,114
1308,600
878,1748
1090,1168
951,342
1181,1420
201,434
132,1101
679,526
982,2053
942,1149
2427,2115
705,237
1194,1506
859,1563
354,523
911,711
1224,2364
500,230
1077,2406
69,599
1145,1478
648,2302
1078,1802
854,1648
1054,1346
906,554
826,511
267,405
216,1085
685,2439
1192,2026
2409,2096
636,540
24,923
972,1433
394,292
74,661
1056,697
423,638
1948,2362
841,1036
1868,2400
1118,353
863,1025
33,703
1047,744
996,2070
959,2189
926,378
1035,495
1294,203
942,725
453,4
138,1049
685,1189
68,313
1125,1376
175,483
2404,1944
313,364
801,1028
1041,726
780,555
881,1199
1,497
1293,1389
1144,318
1943,2227
976,432
1081,2335
712,2370
1175,462
1611,106
117,1172
144,1003
1190,500
853,685
1013,504
1071,1902
825,410
410,29
828,398
91,484
113,376
1047,21
61,1008
935,1324
1032,1818
815,361
1099,1945
1496,52
1480,112
676,30
1065,58
662,303
28,2447
313,618
1074,2367
1284,255
994,1246
642,2396
19,312
772,2395
863,1260
781,2312
107,535
999,528
985,2419
1148,1471
1223,565
1030,547
658,355
208,2420
989,1762
1941,2321
862,2391
822,2415
362,55
1285,610
189,432
952,1158
17,838
1131,1354
450,533
608,6
683,1355
1231,2214
105,864
28,397
1716,31
176,2424
172,484
989,1319
818,2398
932,1379
93,717
1241,488
1005,1965
753,512
1161,1942
1110,1659
2008,2322
544,508
460,2429
633,2256
1997,2265
2379,2042
970,1264
775,2282
504,328
1156,2105
120,1121
464,525
90,809
1034,1528
377,644
39,2416
1629,25
587,2389
449,30
1039,1111
2012,2196
1055,1762
441,282
327,2372
17,2337
91,606
1215,621
904,751
775,1250
337,411
177,795
943,153
1146,2016
606,64
1508,85
403,617
205,421
818,1507
656,364
1295,508
1207,1364
1376,1402
537,138
1133,2100
1297,195
789,566
1342,1459
1171,1416
1732,51
1468,4
162,1087
660,1107
1710,98
1302,424
638,38
120,491
173,918
1005,1445
1227,506
535,81
553,2383
1301,309
1007,404
1185,1434
940,2329
1212,2204
342,1204
1201,420
844,2366
801,467
1047,231
1724,14
947,1343
343,542
642,312
210,477
868,1410
903,1711
753,1299
839,1171
1163,98
708,32
322,2416
1111,1814
752,1106
643,288
599,2232
819,2364
1234,1656
582,17
748,2382
1248,558
1176,1374
1033,1208
1265,2419
1411,1608
976,6
1223,558
180,1102
134,891
622,1123
961,1268
266,727
863,1380
240,974
11,357
625,359
2092,41
137,509
116,1068
1440,110
1318,1468
231,2256
270,657
948,502
925,1409
1984,2181
621,2415
1404,1582
2414,2076
735,230
310,957
441,593
846,1665
586,9
1393,1467
1021,1260
1953,2446
889,130
1171,86
677,1248
657,54
530,93
153,744
909,1010
306,863
87,497
831,1038
1133,1769
415,95
774,443
662,84
1210,2048
252,2371
199,877
215,684
1011,724
2355,1950
1405,1504
1036,457
1318,1520
456,55
608,217
1148,1363
361,16
1345,30
957,1352
312,2410
769,2420
1084,495
922,233
487,404
1362,1385
138,1120
