row,col
1475,989
1478,981
357,330
345,235
1432,957
1507,746
1503,989
1314,715
424,177
1472,867
1474,976
1418,740
1532,1014
1512,738
1482,769
409,203
361,286
422,277
349,194
1385,685
1445,888
233,205
331,178
401,274
417,249
1477,811
1562,999
338,181
465,230
246,257
260,300
1553,1034
1344,765
1547,747
1546,951
1415,758
1567,1086
423,250
1493,907
1529,1057
1565,1113
347,220
345,300
439,191
1410,796
1499,1005
1530,1037
1519,980
298,227
1486,994
385,256
1559,1095
1470,979
335,165
1414,813
1474,681
1431,795
1612,1049
1453,794
1617,1033
1489,899
1426,931
252,325
1478,905
368,229
1594,989
1472,770
615,168
1346,697
344,278
287,235
247,291
1427,944
333,166
1371,693
271,214
1504,889
1564,1116
1537,1099
1464,673
1456,776
1538,1018
242,280
402,257
1622,1038
397,268
326,164
1440,680
375,237
1439,904
1577,998
459,229
454,219
218,182
227,204
264,277
1414,738
1408,772
377,170
1610,1028
1477,1001
1403,694
1533,747
1504,1011
212,213
275,254
1460,705
1443,744
1568,1121
1512,968
1453,879
1469,766
2256,14
1370,709
1417,811
339,170
238,261
1452,775
1484,1018
261,265
1447,865
1408,801
254,204
1500,781
1408,685
264,202
295,169
1516,1003
354,230
253,335
1587,1019
309,232
2271,2
1592,1047
1466,771
1415,664
1533,960
318,156
1528,985
345,272
306,178
1565,1115
409,189
370,313
338,204
1465,915
325,212
1528,960
460,219
1427,847
1448,845
1526,921
1355,736
355,228
1406,716
1547,972
405,196
1403,735
333,252
278,225
1552,965
1573,964
1523,1003
425,239
1464,719
1467,777
1538,979
353,150
1352,721
2256,21
313,151
1502,919
1496,984
616,180
1481,747
1480,922
1498,886
1489,724
1538,1068
1549,1120
1481,797
1508,1053
284,185
1390,745
1351,702
1347,774
297,180
1581,1043
1566,985
1346,757
1478,782
1418,821
624,165
571,182
1440,940
1411,854
1586,1028
1506,890
1481,695
1618,1048
1403,827
2307,3
1372,780
2206,13
302,231
1453,749
1482,848
308,300
1426,753
1513,861
1543,1102
1426,897
385,244
251,196
1532,1025
1419,799
1439,656
362,161
1503,911
1450,672
378,238
1415,914
1497,731
1505,1038
1606,1058
1518,738
350,219
1543,1011
1441,827
1533,761
1509,1014
1414,858
1435,727
353,194
267,215
1462,691
265,231
1479,790
1442,726
1495,1035
1468,923
1440,933
445,212
299,272
263,230
1383,796
1450,747
353,316
342,246
316,264
1558,1032
1505,877
1460,717
359,163
1419,803
360,223
1488,835
392,242
253,209
357,236
1500,726
417,181
370,298
440,223
1451,776
1470,747
356,306
1421,674
612,169
1481,958
201,240
308,287
1508,767
1549,1047
354,168
1474,707
466,250
1516,914
317,158
1499,1002
1417,915
1534,976
1397,833
1583,1050
1444,981
1508,758
325,285
1570,1028
214,266
1367,688
1508,956
1377,725
1410,938
583,157
2303,3
1482,939
1606,1020
394,211
304,291
1384,754
409,198
290,217
1463,753
1483,1001
1591,1015
1573,1021
384,231
290,208
1498,987
1461,880
1554,741
1505,910
1385,748
1443,795
221,202
1470,982
253,222
1493,1032
287,283
266,198
1592,1033
1440,771
1477,839
419,225
1390,754
1549,983
282,163
1358,716
278,237
304,183
1455,949
1377,784
1604,1015
254,327
277,297
351,322
1561,1016
1442,814
442,208
1512,931
1504,920
576,172
1477,842
1360,721
373,182
1530,747
1444,963
381,241
1474,961
1587,1039
573,178
1361,701
374,292
443,202
1451,892
1338,736
1429,664
1548,952
299,253
1329,733
1433,932
1336,713
455,226
1362,734
362,262
1446,920
1506,763
1547,965
288,225
1475,731
1378,706
1538,988
333,149
299,296
1542,1068
259,187
342,263
410,181
1409,918
1424,880
274,209
1548,1079
197,235
226,213
1428,830
301,242
222,251
222,187
1385,712
1570,1105
588,173
407,207
312,209
383,279
1590,1035
1474,894
1406,773
249,186
256,232
1516,868
1425,819
354,279
327,283
399,179
1474,756
1552,1046
1518,941
1425,707
316,218
1495,857
2259,31
1538,1072
223,167
1520,738
2260,18
362,191
1411,842
1564,747
1491,924
360,220
310,301
1504,918
1473,984
1521,928
211,245
1471,738
191,231
1482,765
1456,700
350,212
1480,819
430,214
1439,820
408,217
462,239
250,360
348,255
1412,939
253,270
1512,939
1464,767
1417,845
1488,983
1428,754
263,257
1485,1009
385,200
220,229
1381,790
222,169
1591,1054
1553,1004
2249,1
357,158
304,151
1499,1043
1446,691
368,322
1427,757
357,161
1620,1037
357,299
349,323
365,302
1526,748
1580,1041
571,159
322,315
1546,966
1536,1028
1466,927
1442,690
1476,791
376,251
1392,807
1540,1009
258,224
584,160
205,236
1556,1007
2271,20
1549,1054
1419,852
324,207
438,221
1508,1045
1595,1035
1561,1100
1415,847
1591,1007
1554,1009
1491,703
1492,968
1580,969
258,305
1499,784
609,170
1349,764
575,165
434,191
374,236
1421,799
1521,1032
1538,1096
1426,768
1441,952
1515,908
223,250
1455,697
587,154
1565,743
297,182
280,298
238,246
1566,742
308,255
1449,847
1437,913
1427,773
1441,840
405,167
369,264
1535,752
1484,938
1368,722
1361,764
1530,1086
296,265
1471,955
1427,695
1439,781
2288,2
1434,660
1483,972
1506,737
1535,1056
435,259
428,264
317,162
1363,753
1477,851
407,260
1500,713
217,221
1512,915
1515,737
1464,983
1541,1090
359,239
1464,969
1584,979
1464,875
1477,970
2223,11
1577,741
345,187
1423,816
1530,1026
402,261
599,164
322,233
310,284
1406,679
564,152
310,238
1522,915
1426,803
1428,783
1447,920
1555,1120
574,163
1538,1084
1537,1069
1424,698
1427,737
569,165
339,149
1457,864
1470,787
372,315
1472,866
2248,3
1500,693
257,291
322,196
290,187
1511,917
1433,864
213,172
302,274
1543,1081
1508,995
249,286
579,167
216,190
1540,1091
1602,1007
1572,958
1563,1014
1523,946
352,173
1481,982
1458,981
1486,989
297,270
1520,876
374,247
403,197
1369,772
1579,1011
1463,906
308,233
1496,739
1517,769
253,269
1501,959
1585,1053
1429,867
310,203
1530,1060
1452,827
322,300
340,212
