row,col
1545,915
1228,1277
1266,1973
1152,1187
1578,2054
1401,1913
798,87
1577,2040
688,341
1303,1949
1387,2059
1428,2239
1551,2259
1452,2098
1741,743
1389,1948
1420,1889
1841,868
1683,888
1280,2059
1300,1258
1534,2354
1286,1879
1092,1104
1591,757
1197,1250
1286,2103
1500,2097
1678,2415
1644,2303
1264,2056
1719,827
1359,2016
1691,2412
1405,2124
1837,921
1518,786
770,243
1636,837
1596,953
1705,720
838,299
704,519
1110,1136
962,542
1492,1964
1433,2022
1810,1087
1362,1929
1808,813
1824,997
1649,2326
1304,1905
1419,2304
2228,1225
1730,661
1826,866
1631,769
1322,1876
1776,832
794,245
713,468
1681,2386
708,388
1225,1888
1651,819
2444,1600
1497,2249
1250,1224
1614,2248
761,429
1337,2270
1460,1962
1533,2032
1527,2318
1900,976
1378,2180
1392,2205
1878,913
1371,2303
1513,2220
1635,954
306,543
1446,2057
1396,2335
1815,2439
1504,2135
1658,869
1333,2299
740,106
1410,2305
1255,1993
1381,2059
738,96
1418,2123
2103,1258
1411,2120
1225,1913
1686,1104
1368,2210
2143,1236
1705,910
1463,2135
1573,2294
1636,2379
1798,861
1408,2384
1417,1900
1732,695
828,127
827,194
1301,1938
1805,985
764,272
1247,1227
1576,2233
1521,861
1617,917
1898,981
1679,988
1154,1185
1594,759
1752,826
1833,706
231,518
1535,2165
1861,692
1832,709
1568,787
1531,1984
657,1391
1462,2106
807,278
1191,1141
1472,2272
1522,2277
1248,1921
774,400
1292,1927
716,513
1670,895
1633,926
1640,927
1600,751
922,1065
1626,935
1394,2367
1633,860
1547,928
817,317
1322,2011
1781,1090
1130,1307
1594,2396
805,169
1587,2388
1254,1977
1365,2097
1687,802
1292,1968
1342,1946
1615,1011
1808,997
1472,1981
1660,722
1204,1120
1427,2375
1397,2261
792,227
1389,2289
1643,834
2160,1296
841,272
1414,1989
1163,1186
1537,2166
1752,1021
1504,2090
832,312
1226,1286
1797,921
1780,963
1748,986
1336,2200
1367,1928
646,448
1367,125
1150,1294
1120,1290
1320,1878
1295,2015
674,474
1654,915
1599,2202
1707,1146
1010,579
1383,2168
1292,2061
2208,1259
942,1076
661,394
1247,1921
2221,1238
1196,1258
1632,832
702,510
1170,1192
1431,2325
1688,708
1549,2309
1805,992
1392,2390
734,440
1357,2393
2402,2270
1835,1053
1773,1066
1706,661
1338,2005
1321,2207
1584,2127
1130,1154
301,550
1557,2034
2151,1315
1558,2072
1406,1981
1399,2353
1741,913
1251,1993
1366,2005
1752,890
1309,1928
1645,740
785,212
1339,2206
795,118
1802,934
1297,2181
1763,1096
1456,1955
1573,928
1585,896
1765,807
1413,2326
738,142
759,276
1160,1295
1712,830
2152,1226
2157,1263
1718,653
1176,1209
1618,822
1560,834
1462,2257
1576,1971
1839,880
1698,873
819,231
868,280
1160,1161
1605,2229
777,226
1693,2281
1697,873
1613,2247
1503,2178
696,494
1575,2230
861,169
1361,2140
1367,2274
1259,1888
781,68
